time,Bx,By,Bz,Btotal
2024-04-26 12:44:37.5340,-15.770,21.340,-13.420,29.740
2024-04-26 12:44:37.6320,-16.140,21.090,-13.630,29.850
2024-04-26 12:44:37.7330,-16.220,20.700,-13.580,29.590
2024-04-26 12:44:37.8310,-16.090,21.020,-13.030,29.500
2024-04-26 12:44:37.9310,-16.440,20.930,-13.450,29.820
2024-04-26 12:44:38.0320,-16.170,21.080,-13.220,29.680
2024-04-26 12:44:38.1300,-16.320,20.910,-13.380,29.710
2024-04-26 12:44:38.2290,-16.140,21.040,-13.110,29.580
2024-04-26 12:44:38.3290,-15.860,21.060,-13.470,29.600
2024-04-26 12:44:38.4280,-16.300,21.340,-13.230,29.940
2024-04-26 12:44:38.5280,-16.340,20.780,-13.070,29.490
2024-04-26 12:44:38.6290,-16.110,20.970,-13.460,29.670
2024-04-26 12:44:38.7270,-16.190,20.910,-13.310,29.610
2024-04-26 12:44:38.8280,-16.100,21.030,-13.700,29.820
2024-04-26 12:44:38.9260,-16.170,21.420,-13.630,30.100
2024-04-26 12:44:39.0250,-16.370,21.160,-13.600,30.010
2024-04-26 12:44:39.1260,-16.140,20.970,-13.490,29.700
2024-04-26 12:44:39.2250,-16.110,21.140,-13.260,29.700
2024-04-26 12:44:39.3260,-16.330,21.360,-13.080,29.900
2024-04-26 12:44:39.4250,-16.250,21.340,-13.130,29.860
2024-04-26 12:44:39.5250,-16.130,21.220,-13.600,29.920
2024-04-26 12:44:39.6240,-16.180,20.940,-13.130,29.540
2024-04-26 12:44:39.7240,-16.400,20.980,-13.390,29.810
2024-04-26 12:44:39.8230,-16.190,20.820,-13.810,29.770
2024-04-26 12:44:39.9230,-16.230,20.820,-13.320,29.560
2024-04-26 12:44:40.0220,-16.560,20.930,-13.570,29.940
2024-04-26 12:44:40.1220,-16.520,21.020,-13.440,29.920
2024-04-26 12:44:40.2210,-16.060,21.000,-13.410,29.650
2024-04-26 12:44:40.3210,-16.040,20.960,-13.320,29.560
2024-04-26 12:44:40.4190,-16.150,20.560,-13.000,29.200
2024-04-26 12:44:40.5200,-15.900,20.880,-13.170,29.360
2024-04-26 12:44:40.6180,-16.060,20.990,-14.150,29.980
2024-04-26 12:44:40.7190,-16.040,21.050,-13.890,29.890
2024-04-26 12:44:40.8170,-16.210,20.970,-13.820,29.890
2024-04-26 12:44:40.9170,-16.330,20.890,-14.020,30.000
2024-04-26 12:44:41.0170,-16.290,20.680,-13.800,29.720
2024-04-26 12:44:41.1160,-16.270,20.910,-14.500,30.200
2024-04-26 12:44:41.2160,-16.370,20.880,-14.450,30.210
